1459012046.579000, /muse/acc, -218.75034, 964.8453, 136.71896
1459012046.645000, /muse/elements/raw_fft0, -6.6342793, -2.949665, -2.4516492, 0.1431625, -2.7949407, -8.922899, -5.7202063, -7.687478, -3.3556576, -4.6367626, -0.058372885, 1.6445577, 0.53127486, -5.6790953, -6.7627726, -4.435462, -13.653952, -10.3785, -8.429286, -9.879985, -12.168222, -14.798904, -5.216993, -4.923707, -3.7958324, -9.786657, -15.501948, -11.552946, -10.1238, -14.401873, -12.641274, -12.781788, -12.531737, -12.401609, -9.434797, -10.347185, -7.889853, -12.429297, -8.686317, -5.275757, -8.3683815, -11.364298, -7.9229975, -13.932785, -11.569476, -15.73908, -10.906782, -8.792746, -5.5285716, -8.255117, -11.995521, -16.639015, -13.089175, -9.643091, -13.606257, -10.348495, -12.995843, -14.126091, -13.684329, -16.95767, -16.443308, -10.6579685, -12.173497, -17.454271, -14.145156, -16.46769, -20.798569, -17.101398, -23.93476, -29.281727, -30.281874, -31.768652, -24.556349, -20.478443, -20.611004, -21.645655, -18.21167, -15.2739105, -18.458172, -21.91829, -13.398737, -11.844669, -21.126873, -16.306181, -12.871846, -14.237942, -15.484179, -14.594426, -17.229874, -18.306425, -14.845478, -15.753162, -13.133724, -11.966739, -13.181523, -16.683632, -18.386484, -15.539139, -16.887405, -15.575391, -13.354753, -16.242218, -15.979341, -15.274586, -19.628746, -22.53792, -21.615376, -17.4113, -13.381949, -14.908869, -14.724359, -14.67036, -16.109627, -18.363335, -16.344967, -14.757241, -20.69424, -18.94838, -20.962202, -28.477348, -27.767359, -20.334461, -24.174356, -18.521719, -20.406954, -27.210812, -24.294775, -28.590034, -30.916336
1459012046.645000, /muse/elements/raw_fft1, -9.997871, -2.4934697, 0.4537779, -4.888572, -2.335615, -7.0746617, -10.173112, -7.2641344, -11.900148, -13.354187, -12.788457, -11.75465, -11.538968, -12.626273, -9.228066, -9.991715, -16.298096, -14.800647, -13.601832, -11.8810425, -11.414435, -12.374055, -12.181296, -19.158276, -17.078583, -16.694162, -11.713356, -13.323269, -14.406536, -11.2868805, -15.292231, -15.372048, -12.781363, -10.229526, -7.5450387, -10.785885, -12.01248, -8.704188, -8.368906, -9.773934, -10.098279, -17.224216, -14.475929, -16.574493, -19.086731, -17.166851, -10.920549, -6.228809, -11.870367, -12.826437, -14.345469, -15.353607, -19.927935, -13.206248, -6.9207797, -12.2399845, -14.729126, -16.465994, -11.621289, -16.711264, -14.25597, -19.41086, -17.827574, -18.34401, -19.956594, -22.217836, -24.819635, -21.635393, -22.693857, -30.052618, -31.281897, -29.23381, -24.328623, -23.04758, -26.5423, -27.328243, -19.990654, -20.003649, -21.713081, -23.702076, -19.91027, -13.878473, -15.406765, -15.092599, -16.148245, -9.57101, -10.087844, -18.99141, -19.90679, -16.460005, -15.3812065, -14.506641, -12.044365, -15.719278, -22.980677, -25.400887, -18.258865, -15.08375, -16.26197, -13.990209, -15.227252, -12.422384, -15.021672, -28.328604, -18.738811, -17.916634, -18.37423, -11.417364, -10.210966, -14.450565, -16.080263, -19.839499, -16.156029, -15.394225, -21.644312, -26.630026, -17.472868, -12.041402, -15.12295, -19.448095, -21.429575, -18.618055, -23.257668, -19.598503, -20.194696, -29.196611, -21.79812, -22.053549, -22.887972
1459012046.646000, /muse/elements/raw_fft2, -17.261526, -11.6540575, -4.7069473, -5.248559, -14.477508, -11.323762, -9.45385, -15.262432, -12.608765, -8.866251, -14.75025, -12.87701, -16.046072, -16.234613, -20.353745, -19.67169, -20.104662, -22.483597, -23.902836, -20.00252, -18.392279, -19.82307, -20.582848, -13.747043, -14.677518, -25.673279, -20.093498, -16.221186, -12.362965, -15.794755, -18.636812, -20.649796, -19.820103, -16.028795, -12.767158, -19.819294, -19.87653, -17.624956, -17.32767, -15.807317, -15.864784, -19.567, -18.405325, -14.881723, -21.979452, -20.748291, -16.847153, -15.34436, -19.502148, -15.328928, -18.39968, -22.071915, -27.42168, -21.007616, -18.4154, -21.721413, -24.98577, -23.846212, -21.739231, -22.821407, -22.010336, -23.65398, -21.579887, -21.828766, -24.035511, -21.625053, -27.324951, -25.046263, -29.269985, -28.824785, -34.379963, -37.928745, -31.499697, -23.143978, -22.027828, -19.50695, -22.241024, -19.212524, -21.503506, -25.503407, -21.017561, -19.056383, -20.280151, -20.448566, -23.199896, -19.471653, -18.979897, -20.985409, -19.083153, -18.236912, -27.641277, -23.33881, -21.82327, -26.001274, -25.143652, -20.954214, -22.710207, -18.866003, -22.157568, -25.812151, -26.625797, -23.288624, -26.503138, -29.631462, -28.919664, -31.276583, -24.336485, -22.610035, -22.951773, -24.382309, -26.586126, -25.194721, -25.189964, -29.5722, -27.740849, -24.687819, -31.49422, -30.340813, -25.261368, -28.717009, -30.841854, -32.605747, -27.645897, -25.157286, -28.718023, -30.604748, -33.59216, -25.541962, -23.536427
1459012046.646000, /muse/elements/raw_fft3, -2.6410735, 2.097331, -0.09384113, -1.5455949, -3.5585506, -7.1425214, -4.901395, -8.571722, -4.085342, -4.977324, -1.8699553, 2.920495, 0.41681287, -3.8677497, -5.912955, -5.336861, -4.9770412, -2.5988908, -3.3665848, -5.066087, -5.3689666, -5.674608, -2.8684695, -4.8563924, -12.808607, -8.829846, -7.5077863, -4.933465, -4.9465437, -3.6388397, -1.7110254, -5.567153, -14.487496, -15.954643, -13.145831, -5.9239798, -4.696398, -4.3024983, -4.5103173, -6.8405786, -9.288558, -12.318123, -8.786395, -8.534448, -5.4500017, -5.0217195, -4.5865417, -7.5484467, -10.232357, -7.5460773, -9.802465, -17.897966, -6.283281, -2.8599558, -6.595099, -11.662272, -12.565317, -11.629869, -11.917764, -12.535153, -11.544201, -10.0060425, -11.69245, -10.210375, -10.361443, -22.818813, -17.329567, -14.897487, -17.993547, -27.15647, -25.17186, -22.509995, -19.224768, -18.861296, -19.41978, -18.689367, -15.114843, -12.650413, -12.958208, -8.268058, -13.531578, -21.390217, -29.020456, -21.184893, -15.868137, -15.432018, -20.423435, -15.2461195, -14.169307, -13.504531, -8.400573, -12.531204, -13.794043, -13.844044, -10.522673, -12.089015, -13.081574, -9.653768, -11.5474615, -14.486272, -13.640679, -9.489469, -12.106787, -14.480997, -12.193584, -13.982465, -19.79687, -17.57257, -12.257297, -14.630076, -18.008022, -16.251678, -12.023397, -13.849042, -16.105358, -18.716747, -18.453684, -16.576061, -17.49752, -25.975325, -26.033556, -20.353178, -17.10902, -20.84645, -23.606466, -22.487627, -19.019232, -19.101345, -24.44361
1459012046.646000, /muse/elements/low_freqs_absolute, 0.53327084, 0.514317, -0.021507377, 0.56581956
1459012046.646000, /muse/elements/alpha_absolute, 0.9531479, 0.112670615, -0.4618998, 1.0024333
1459012046.647000, /muse/elements/beta_absolute, 0.38792968, 0.029437529, -0.37294585, 0.77278054
1459012046.647000, /muse/elements/delta_absolute, 0.32749894, 0.38982272, -0.32192653, 0.27791345
1459012046.647000, /muse/elements/gamma_absolute, 0.2668971, 0.06463952, -0.48776257, 0.5087218
1459012046.647000, /muse/elements/theta_absolute, 0.11004142, -0.08907919, -0.32314909, 0.25125676
